Kelas;Soal;A;B;C;D;E;Jawaban;;
4;Besarnya simpanan pokok adalah ...;Ditentukan oleh rapat anggota;sama bagi tiap anggota;Tidak sama bagi tiap anggota;ditentukan oleh pengurus koperasi;#;C;;
4;Petani menggunakan perontok padi. Berarti petani tersebut menggunakan tekhnologi ...;industri;produksi;komunikasi;transportasi;#;B;;
4;Pernyataan mengenai tekhnologi berikut ini yang benar adalah ...;Tekhnologi mempermudah kehidupan manusia;Tekhnologi membatasi kegiatan manusia;Hanya manusia moderen yang dapat menciptakan teknologi;Tekhnologi pada masa lalu lebih maju daripada tekhnologi masa kini;#;A;;
4;Tekhnologi sederhana umumnya menggunakan...;nuklir;mesin;matahari;manusia;#;D;;
4;Tekhnologi pertanian tradisional yang biasa digunakan untuk menggemburkan tanah adalah...;geraji;cangkul;traktor;reaktor;#;C;;
4;Cara tradisional untuk mengolah padi menjadi beras dilakukan dengan cara ...;mencuci;menumbuk;menjemur;membakar;#;B;;
4;"Untuk berhubungan dengan orang di tempat berbeda, kita memanfaatkan tekhnologi ...";komunikasi;produksi;transportasi;industri;#;A;;
4;Lembaran-lembaran kertas berisi berita disebut ...;novel;majalah;pamlet;koran;#;D;;
4;Tempat berhentinya kereta api untuk menaikkan dan menurunkan penumpang disebut ...;bandarai;stasiun;terminal;pelabuhan;#;B;;
4;Salah satu kemajuan di bidang transportasi adalah ...;rakit;becak;delman;pesawat terbang;#;D;;
4;Masalah sosial yang mengganggu keamanan masyarakat adalah ...;kemiskinan;kejahatan;keterbelakangan;kebodohan;#;B;;
4;Masalah sosial yang sering terjadi di daerah terpencil adalah ...;kebodohan;kriminalitas;pengangguran;tawuran pelajar;#;A;;
4;Masalah sosial yang banyak terjadi di lingkungan perkotaan adalah...;Kebodohan;kriminalitas;Kesibukan;keterbelakangan;#;C;;
4;BOS adalah program bantuan dana pemerintah yang diperuntukan bagi...;Fakir miskin;sekolah;pengangguran;usaha kecil;#;B;;
4;Orang yang hidupnya di bawah standar kehidupan yang layak disebut orang...;Sederhana;Mapan;kaya;miskin;#;D;;
4;Orang yang tidak mempunyai tempat pekerjaan disebut ...;pengangguran;tunawisma;pekerja;pegawai;#;A;;
4;Kurangnya perhatian orang tua dapat menyebabkan masalah sosial berupa...;pencurian;kenakalan remaja;kesenjangan sosial;kerusahan sosial;#;B;;
4;Salah satu faktor penyebab terjadinya tindakan kejahatan adalah ...;kesehatan;ekonomi;perumahan;politik;#;C;;
4;Segitiga merah pada gambar dalam peta merupakan simbol ...;gunung berapi;pegunungan;gunung;gunung tertinggi;#;A;;
4;Gambar lautan pada peta akan dilukiskan dengan warna ...;hijau;merah;biru;putih;#;C;;
4;Jika dalam peta tertulis 1 : 350.000 maka setiap 1 cm pada jarak adalah...;35 km;"0,35 km";350 km;"3,5 km";#;D;;
4;Arah mata angin dalam sebuah peta dapat juga dinamakan dengan ...;simbol;legenda;skala;orientasi;#;D;;
4;Untuk memperbesar atau memperkecil gambar peta digunakan bantuan garis ...;koordinat;bujur;katulistiwa;lintang;#;A;;
4;Kumpulan dari simbol-simbol yang lengkap dengan ketengannya pada peta atau atlas disebut ...;legenda;indeks;simbol;Skala;#;A;;
4;Pengaruh lingkungan sosial yang tidak baik contohnya ...;pertandingan sepak bola;belajar bersama;tawuran pelajar;saling memberi salam bila bertemu;#;C;;
4;Manusia dapat menciptakan kebudayaan karena oleh Tuhan dianugerahi ...;perasaan;naluri;Indra penglihatan;Akal pikiran;#;D;;
4;"Di bawah ini adalah pemamfaatan lahan yang ada di dataran rendah, kecuali ...";pertanian pangan;perikanan;Kawasan industri;PLTA;#;D;;
4;Jenis tanaman yang ada di daerah pantai yang sangat berguna untuk mencegah abrasi gelombang laut adalah ...;pandan;jati;ketapang;bakau;#;D;;
4;Gempa bumi yang disebabkan oleh letusan gunung merapi disebut gempa ...;tektonik;mekanik;vulkanik;elektronik;#;C;;
4;"Di bawah ini adalah pulau-pulau yang banyak terdapat gunung berapi yang masih aktif, kecuali ...";Maluku;Sumatra;Kalimatan;Jawa;#;C;;
4;Gambar seluruh atau sebagian permukaan bumi yang dilukis ke suatu bidang datar dengan skala tertentu disebut...;bumi;tata surya;peta;tanah;#;C;;
4;Bagian daratan yang berbatasan langsung dengan laut adalah...;sungai;daratan;pantai;rawa;#;C;;
4;Masyarakat yang tinggal di sekitar daerah pantai umumnya bekerja sebagai...;sopir;nelayan;peternak sapi;pengusaha;#;B;;
4;Hasil dari 432 x 18 : 6 adalah ...;1.396;1.296;1.456;1.586;#;B;;
4;FPB dari 60 dan 90 adalah ...;5;10;12;15;#;D;;
4;Hasil dari 15.725 + 600 : 15 adalah ...;14.975;15.165;15.765;16.125;#;C;;
4;Bilangan 58.376 jika dibulatkan ke ratusan terdekat menjadi ...;58;59;58.4;60;#;C;;
4;KPK dari 24 dan 36 adalah ...;36;72;96;108;#;B;;
4;"Harga sepatu roda Rp 232.750,00 dibayar dengan 5 lembar uang Rp 50.000,00. Maka uang kembaliannya adalah ...";"Rp15.250,00";"Rp17.250,00";"Rp16.250,00";"Rp18.250,00";#;B;;
4;Farhan membeli kertas sebanyak 5 rim. Kertas digunakan sebanyak 1863 lembar. Maka sisa kertas milik Farhan adalah lembar;517;547;617;637;#;D;;
4;"Jarak antara rumah Agung dengan sekolahnya 5,75 km , sebanding dengan dam";"57,5";575;5.75;57.5;#;B;;
4;Besar sudut setengah putaran adalah Â°;45;90;180;360;#;C;;
4;Faktorisasi prima dari 36 adalah ...;2 x 3;2Â² x 3;2Â² x 2Â²;2Â² x 3Â²;#;D;;
4;Diketahui luas jajargenjang 88 cmÂ² dan panjang alasnya 22 cm. Tinggi jajargenjang adalah cmÂ²;4;8;12;16;#;A;;
4;"Luas segitiga 25 cmÂ². Jika tingginya 5 cm, maka panjang alasnya adalah cm";5;10;12;20;#;B;;
4;10 langkah ke kanan dari titik -7 adalah ...;-3;3;17;-17;#;B;;
4;Hasil dari 28 + (-45) adalah ...;17;-73;-17;73;#;C;;
4;Hasil dari -9 + (-11) - (-12) = ...;-14;-32;-8;8;#;C;;
4;"90, -125, 75, -100. Bilangan yang mempunyai nilai terbesar adalah ...";90;75;-125;-100;#;A;;
4;3/5 = n/25 . Agar benar n adalah ...;5;10;15;20;#;C;;
4;Hasil pengerjaan dari 3/8 - 4/16 = ...;01-Jun;01-Aug;01-Mar;01-Feb;#;B;;
4;Pecahan yang senilai dengan 81/99 adalah ...;01-Sep;08-Sep;09-Nov;Nov-19;#;C;;
4;Pecahan paling sederhana dari 27/36 adalah ...;09-Dec;03-Apr;02-Mar;01-Mar;#;B;;
4;Lambang bilangan romawi dari 149 adalah ...;CXLV;CXLIX;CXLVIII;CXLVII;#;B;;
4;Bilangan cacah dari DCCCXLVI adalah ...;864;846;956;946;#;B;;
4;Hasil dari XII + XXXIX adalah ...;XLI;L;LI;LII;#;C;;
4;Bangun yang dapat dilipat secara sempurna disebut dengan bangun ...;simetris;asimetris;kongruen;sebangun;#;A;;
4;Segitiga sama sisi memiliki sumbu simetri sebanyak ...;1;2;3;tidak punya;#;C;;
4;Banyakya rusuk pada kubus adalah ...;8;10;12;16;#;C;;
4;Banyaknya titik sudut pada bangun limas segi empat adalah ...;4;5;6;7;#;B;;
4;Sifat komutatif pada operasi hitung matematika artinya ...;pertukaran;penggabungan;penyebaran;pengelompokan;#;A;;
4;Nilai tempat angka 2 pada bilangan 2.658 adalah ...;satuan;puluhan;ratusan;ribuan;#;D;;
4;Nilai angka 6 pada bilangan 2.658 adalah ...;6;600;60;6;#;B;;
4;Hasil dari 7 x 6 adalah ...;40;42;56;63;#;B;;
4;"Jika 36 x 99 = (36x n)-(36x1),  maka nilai n …";5;10;100;1;#;C;;
4;Hasil dari 4.150+ 32 x 3 = ...;4.054;4.246;4.624;6.242;#;B;;
4;Pernyataan untuk cara pembulatan ke ratusan di bawah ini yang benar adalah ...;Bilangan yang kurang dari 5 dibulatkan ke bawah menjadi 0;Bilangan yang kurang dari 50 dibulatkan ke bawah menjadi 0;Bilangan yang kurang dari 500 dibulatkan ke bawah menjadi 0;Bilangan yang kurang dari 5000 dibulatkan ke bawah menjadi 0;#;B;;
4;Sepuluh ribu rupiah bila ditulis dengan angka adalah ...;"Rp 1.00,00";"Rp1.000,00";"Rp10.000,00";"Rp100.000,00";#;C;;
4;"Jumlah 2 lembar uang ribuan, 5 uang logam limaratusan, dan 2 lembar sepuluh ribuan adalah ...";"Rp14.000,00";"Rp18.000,00";"Rp22.000,00";"Rp24.500,00";#;C;;
4;"Rini membeli sebuah baju harganya Rp 25.000,00 dan sebuah kaos harga Rp 12.250,00. Jika Rini membayar dengan 2 lembar dua puluh ribuan, maka kembaliannya adalah ...";"Rp2.500,00";"Rp2.750,00";"Rp3.700,00";"Rp4.250,00";#;B;;
4;Di antara bilangan berikut yang merupakan kelipatan 3 adalah ...;2;4;6;8;#;C;;
4;"3,6,9,12,15 merupakan bilangan kelipatan ...";3;4;5;6;#;A;;
4;Bilangan 7 adalah bilangan ...;genap;asli;prima;komposit;#;C;;
4;kelipatan persekutuan dari 28 dan 42 adalah ...;"1,2,7,14";"1,2,4,7,14";"1,4,7,14,16";"1,7,14,16";#;A;;
4;KPK dari 6 dan 10 adalah ...;20;25;30;40;#;C;;
4;Lensa Mata Membentuk Bayangan Terbalik.;Pada Pupil;Pada Lensa Mata;Pada Retina;Pada Anak Mata;#;C;;
4;"Zenal Melemparkan Batu Keatas, dan Batu Tersebut Kembali Lagi Jatuh. Ini Disebabkan Oleh...";Adanya Gravitasi Bulan;Adanya Gaya Tarik Batu;Adanya Udara;Adanya Gravitasi Bumi;#;D;;
4;Merupakan Sikap Duduk Yang Benar Pada Saat Membaca...;Membungkuk;Miring Ke Kiri;Miring Ke Kanan;Tegak;#;D;;
4;Kekurangan Vitamin D dapat Menyebabkan Penyakit...;Kaki Bengkok;Rabun Ayam;Reumatik;Sariawan;#;A;;
4;Organ Tubuh Dapat Digerakan Dengan Bebas Dikarenakan Adanya...;Otot;Rangka;Sendi;ulang;#;C;;
4;Posisi Sikap Berdiri Yang Baik Adalah Dengan Cara Badan Ditahan Oleh Kedua Tangkai Panggul Mendatar Dan Berat Badan Berada Pada...;Telapak Kaki;Paha Dan Betis;Pertengahan Kaki;Pangkal Kaki;#;A;;
4;Hewan Yang Mengalami Metamorfosis Sempurna Adalah...;Siput;Belalang;Ikan;Kupu-Kupu;#;D;;
4;...Merupakan Bagian Batang Kayu Yang Berlendir Dan Berfungsi Membersihkan Kayu.;Daun;Klorofil;Kambium;Kulit;#;C;;
4;"Berdasarkan Wujudnya Batum, Kayu dan Besi Termasuk Jenis Benda…";Gas;Lunak;Padat;Cair;#;C;;
4;...Adalah Lapisan Kulit Yang Paling Luar Dan Tipis.;Jangat;Buku;Kulit Jari;Tanduk;#;A;;
4;Otak Pada Kepala Kita Dilindungi Oleh...;Ubun-Ubun;Tenggorokan;Dahi;Pipi;#;A;;
4;"Rangka Manusia Termasuk Rangka Kepala, Badan Dan Rangka...";Anggota Tubuh;Anggota Kaki;Anggota Gerak;Anggota Pancaindra;#;C;;
4;Vitamin Yang Bermanfaat Untuk Kesehatan Tulang Adalah...;Vitamin D;Vitamin E;Vitamin B;Vitamin C;#;A;;
4;...Merupakan Salah Satu Fungsi Rangka Manusia.;Memberi Kenyamanan Pada Tubuh;Memberi Bentuk Pada Tubuh;Memberi Warna Pada Tubuh;Memberi Arti Pada Tubuh;#;B;;
4;Alat Indera Pada Gambar Memiliki Fungsi Untuk...;Melihat;Meraba;Perasa;Mencium;#;A;;
4;...Adalah Bunyi Yang Berfrekuensi Lebih Dari 20.000 Hz.;Frekuensi;Infrasonik;Ultrasonik;Audiosonik;#;C;;
4;Tarikan Dan Dorongan Disebut...;Gaya;Tenaga;Gerak;Kerja;#;A;;
4;Salah Satu Dari Sifat Benda Cair yaitu...;Bentuk Dan Ukuran Tetap;Bentuk Berubah-Ubah;Permukaan Selalu Miring;Mengisi Seluruh Ruangan;#;B;;
4;Hewan Pada Gambar Termasuk Hewan Pemakan...;Daging;Biji-Bijian;Tumbuh-Tumbuhan;Tumbuhan Dan Daging;#;D;;
4;Bagian Tumbuhan Yang Fungsinya Untuk Menyerap Air Dan Unsur Hara Dari Tanah...;Batang;Ranting;Daun;Akar;#;D;;
4;"Tulang manusia terdiri dari 206 tulang keras,jumlah tulang kelangkang yaitu ...";1;3;2;4;#;A;;
4;Penyakit yang dapat mengakibatkan kelumpuhan adalah penyakit...;polio;lordosis;kifosis;oestoporosisi;#;A;;
4;Kelaianan rangka dapat disebabkan oleh penyakit dan kebiasaan...;bentuk tubuh;bentuk rangka;sikap tubuh;fungsi rangka;#;B;;
4;Bagian mata yang dapat didonorkan pada orang lain adalah ...;sclera;kornea;bola mata;kelopak mata;#;B;;
4;Penyakit yang diakibatkan kekurangan vitamin D adalah penyakit...;beri -- beri;rakitis;TBC;polio;#;B;;
4;Bagian akar yang fungsinya menyerap air dan mineral adalah...;akar rambut;akar nafas;tudung akar;inti akar;#;A;;
4;Tanaman pisang memiliki batang dengan jenis batang...;berkayu;basah;rumput;berkambium;#;C;;
4;Suara yang dapat didengar manusia adalah suara yang mempunyai frekuensi...;20 -- 20.000 Hz;40 -- 20.0000 Hz;20 -- 20.000 Hz;20 -- 30.000 Hz;#;A;;
4;"Tumbuhan yang mempunyai ciri - ciri tidak bercabang,tidak mempunyai kambium berakar...";tunggang;tunjang;gantung;serabut;#;D;;
4;Pembuluh yang fungsinya mengangkut air dan mineral dari dalam tanah adalah...;pembuluh Floem;pembuluh Xilem;pembuluh Batang;pembuluh nadi;#;B;;
4;Tulang pada daun yang bentuknya seperti jari - jari manusia (menjari) adalah...;tulang daun nangka;tulang daun enceng gondok;tulang daun jagung;tulang daun pepaya;#;D;;
4;Proses pembuatan makanan pada tumbuhan disebut...;stomata;tespirasi;klorofil;fotosintesa;#;D;;
4;Bagian bunga yang mempunyai berbagai warna yang menarik yaitu...;kelopak bunga;putik;benang sari;mahkota bunga;#;D;;
4;Fungsi utama bunga adalah...;tempat menyimpan makanan;alat perkembang biakan;tempat pembuatan makanan;makanan serangga;#;B;;
4;"Beruang,ayam dan tikus,merupakan contoh hewan pemakan segala,hewan tersebut disebut...";carnifora;omnivora;herbivora;Langka;#;B;;
4;"Gigi pada harimau,yang fungsinya untuk merobek atau mengoyak makanan adalah...";gigi seri;gigi taring;gigi geraham;gigi susu;#;B;;
4;Bagian bunga yang merupakan alat kelamin betina adalah...;putik;benang sari;mahkota bunga;kelopak bunga;#;A;;
4;Hewan yang makanannya pucuk pohon bambu adalah...;beruang;panda;burung hantu;tikus;#;B;;
4;Bagian kulit manusia yang sangat peka adalah...;kulit pada pipi;kulit pada hidung;kulit pada kaki;kulit pada ujung jari;#;D;;
4;Pembuluh darah yang mengaliri darah dari jantung adalah;pembuluh vena;pembuluh kapiler;pembuluh nadi;pembuluh balik;#;C;;
4;Hewan yang beradaptasi dengan cara memutuskan sebagian ekornya adalah ...;cicak;kecoa;trenggiling;landak;#;A;;
4;Tumbuhan teratai yang hidup di air memiliki daun yang lebar untuk mempercepat air dari dalam tubuhnya.;pembekuan;penguapan;pendinginan;penambahan;#;B;;
4;Alat pernapasan manusia terdiri atas ...;hidung-tenggorokan-jantung;hidung-tenggorokan-hati;hidung-tenggorokan-paru-paru;hidung-kerongkongan-paru-paru;#;C;;
4;Ruang jantung yang berfungsi memompa darah ke paru-paru adalah...;serambi kanan;serambi kiri;bilikkanan;bilik kiri;#;C;;
4;"Seekor anjing atau kucing jika tidur ketika dingin akan menggulungkan badannya, tujuannya untuk";menjaga badan tetap hangat;melindungi diri dari bahaya;menyesuaikan tempat yang sempit;kegemaran dan kepuasan tidur;#;A;;
4;Hasil proses fotosintesis pada tumbuhan hijau adalah ...;karbon dioksida dan karbohidrat;karbon dioksida dan oksigen;oksigen dan air;karbohidrat dan oksigen;#;D;;
4;Berbagai makhluk hidup berbeda yang tinggal bersama dalam suatu lingkungan tertentu disebut ...;populasi;ekosistem;komunitas;habitat;#;C;;
4;Tumbuhan hijau membuat makanan sendiri melalui proses ...;metaboiisme;fotosintesis;respirasi;transpirasi;#;B;;
4;"Berikut ini tanaman yang menyimpan cadangan makanannya di dalam akar, kecuali ...";wortel;kentang;singkong;apel;#;D;;
4;"Fungsi darah, antara lain ...";mengangkut sari makanan dan oksigen;membentuk makanan di dalam tubuh;menukaroksigen keluar tubuh;Membuang oksigen keluar tubuh;#;A;;
4;Alat pernapasan pada manusia adalah ...;lambung;mulut;paru-paru;jantung;#;C;;
